sku,title,category,channel,unitsListed,unitsSold,unitsReturned,onHandAvg,firstListingDate,lastSaleDate,avgDaysToSale,avgSellingPrice,costPerUnit,brand,model,condition,ebayItemNumber,quantityAvailable,quantitySoldOnEbay,notes
MAY-WASH-TRNS-001,Maytag Washer Transmission 62097750,Washer Parts,eBay,90,70,3,20,2025-07-01,2025-11-30,16,189,80,Maytag,6-2097750,Used,EB001,1,68,Used tested works perfectly
FRIG-WASH-CLUTCH-002,Frigidaire Washer Clutch Body 5304516133,Washer Parts,eBay,60,45,2,18,2025-07-05,2025-11-28,14,99,40,Frigidaire,5304516133,Used,EB002,1,45,Used tested works perfect
LG-DRY-GLASS-003,LG Dryer Inner Door Glass ADC73025601,Dryer Parts,eBay,50,38,1,15,2025-07-08,2025-11-26,12,54.9,22,LG,ADC73025601,Used,EB003,2,38,Very clean glass panel
WHIR-WASH-STAT-004,Whirlpool Washer Stator 8565170,Washer Parts,eBay,70,52,2,22,2025-07-10,2025-11-24,15,44,18,Whirlpool,8565170,Used,EB004,1,52,Used tested works perfect
MAY-WASH-BOARD-005,Maytag Washer Motor Board 62724140,Washer Parts,eBay,55,40,2,16,2025-07-12,2025-11-22,18,139,60,Maytag,62724140,Used,EB005,1,40,Board pulled from working unit
GE-WASH-TIMER-006,GE Washer Timer 175D6604P055,Washer Parts,eBay,48,34,1,14,2025-07-14,2025-11-20,17,29.95,12,GE,175D6604P055,Used,EB006,1,34,Used timer tested for all cycles
KEN-LAUNDRY-SW-007,Kenmore Laundry Center Switch 137493300,Washer Parts,eBay,44,30,1,13,2025-07-16,2025-11-18,15,99,35,Kenmore,137493300,Used,EB007,1,30,Switch tested works perfectly
WHIR-DRY-VALVE-008,Whirlpool Dryer Gas Valve 8281920,Dryer Parts,eBay,65,50,3,19,2025-07-18,2025-11-16,13,28.95,11,Whirlpool,8281920,Used,EB008,2,50,Used gas valve tested no leaks
WHIR-WASH-LOCK-009,Whirlpool Washer Door Lock W10869789,Washer Parts,eBay,58,44,2,17,2025-07-20,2025-11-14,12,39,16,Whirlpool,W10869789,Used,EB009,1,44,Latch locks and unlocks correctly
WHIR-WASH-VALVE-010,Whirlpool Washer Water Valve W10247305,Washer Parts,eBay,62,49,2,18,2025-07-22,2025-11-12,14,58.95,24,Whirlpool,W10247305,Used,EB010,1,49,Valve inspected screens clean
SAMS-DRY-BOARD-011,Samsung Dryer Control Board DC92-00382A,Dryer Parts,eBay,77,61,3,21,2025-07-24,2025-11-10,13,34,14,Samsung,DC92-00382A,Used,EB011,1,61,Firmware tested normal operation
SAMS-WASH-BOARD-012,Samsung Washer Control Board DC92-01803C,Washer Parts,eBay,72,54,2,20,2025-07-26,2025-11-08,16,38.9,16,Samsung,DC92-01803C,Used,EB012,1,54,Used tested works perfect
FRIG-DRY-MOTOR-013,Frigidaire Dryer Motor 134156500,Dryer Parts,eBay,63,47,2,19,2025-07-28,2025-11-06,15,49,20,Frigidaire,134156500,Used,EB013,1,47,Motor spins smooth and quiet
LG-WASH-BOARD-014,LG Washer Control Board 6871ER1097B,Washer Parts,eBay,41,30,1,12,2025-07-30,2025-11-04,17,115,45,LG,6871ER1097B,Used,EB014,1,30,Board visually inspected no burn marks

FRIG-WASH-MOTOR-015,Frigidaire Washer Dryer Combo Motor 137326000,Washer Parts,eBay,52,39,2,15,2025-08-01,2025-11-02,14,39.95,16,Frigidaire,137326000,Used,EB015,1,39,Motor combo tested both directions
